

MESSAGE: Pygame initialized for simulation.

########## Simulation state - INI ###########

# solutions # : EMPTY 

# sensors # : 20

 ------  parameters ------  

# contact hurt (training agent) # : player

multiple mode: no

enemies list: 5

current enemy: 5

player mode: ai

enemy mode: static

level: 2

clock precision: low

inputs coded: no

random initialization: yes

expiration time: 3000

speed: fastest

load player: yes

load enemy: yes

sound: off

overture time: 100

logs: on

save logs: yes

########## Simulation state - END ###########

PARAMETER CHANGE: enemies = [5]

RUN: run status: enemy: 5; fitness: -97.68775527898212; player life: 92.20000000000007; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -102.0077552789821; player life: 49.000000000000306; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -99.96775527898211; player life: 69.40000000000029; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -106.32972090552269; player life: 0; enemy life: 100; time: 561

RUN: run status: enemy: 5; fitness: -100.26775527898211; player life: 66.40000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 7.892977112257746; player life: 0; enemy life: 40.0; time: 449

RUN: run status: enemy: 5; fitness: -78.62775527898214; player life: 92.80000000000007; enemy life: 90.0; time: 1000

RUN: run status: enemy: 5; fitness: -22.287755278982125; player life: 86.20000000000013; enemy life: 60.0; time: 1000

RUN: run status: enemy: 5; fitness: -11.52649485957079; player life: 0; enemy life: 50.0; time: 683

RUN: run status: enemy: 5; fitness: -106.24222326545517; player life: 0; enemy life: 100; time: 514

RUN: run status: enemy: 5; fitness: 90.01051857958574; player life: 65.80000000000032; enemy life: 0; time: 713

RUN: run status: enemy: 5; fitness: -101.3477552789821; player life: 55.60000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -60.947755278982115; player life: 79.6000000000002; enemy life: 80.0; time: 1000

RUN: run status: enemy: 5; fitness: 84.49649336511602; player life: 8.800000000000232; enemy life: 0; time: 592

RUN: run status: enemy: 5; fitness: -104.46775527898211; player life: 24.400000000000247; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -105.18775527898211; player life: 17.20000000000023; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 7.9223577566509675; player life: 0; enemy life: 40.0; time: 436

RUN: run status: enemy: 5; fitness: -100.1477552789821; player life: 67.6000000000003; enemy life: 100; time: 1000

