,group,enemies_slain,gain,player_life,enemy_life,time
0,best_10,2.4,-133.47999999999942,9.315000000000072,26.0,2406.075
1,best_4,1.4,-339.5599999999998,5.805000000000032,48.25,2397.875
2,best_6,1.2,-289.1999999999999,5.600000000000021,41.75,2397.825
3,best_5,1.6,-235.99999999999972,8.000000000000032,37.5,2389.825
4,best_7,1.8,-208.79999999999956,12.400000000000054,38.5,2411.75
5,best_3,2.0,-170.31999999999965,7.710000000000041,29.0,2418.625
6,best_1,2.0,-225.95999999999975,6.505000000000033,34.75,2394.05
7,best_8,1.0,-362.15999999999974,3.9800000000000333,49.25,2429.6
8,best_9,2.0,-260.2799999999998,6.465000000000032,39.0,2390.75
9,best_2,0.2,-389.5999999999997,4.550000000000035,53.25,2288.025
