

MESSAGE: Pygame initialized for simulation.

########## Simulation state - INI ###########

# solutions # : EMPTY 

# sensors # : 20

 ------  parameters ------  

# contact hurt (training agent) # : player

multiple mode: yes

enemies list: 2 5

current enemy: 2

player mode: ai

enemy mode: static

level: 2

clock precision: low

inputs coded: no

random initialization: yes

expiration time: 3000

speed: fastest

load player: yes

load enemy: yes

sound: off

overture time: 100

logs: on

save logs: yes

########## Simulation state - END ###########

PARAMETER CHANGE: enemies = [2, 5]

RUN: run status: enemy: 2; fitness: -105.77144112313002; player life: 0; enemy life: 100; time: 321

RUN: run status: enemy: 5; fitness: -106.10702288774226; player life: 0; enemy life: 100; time: 449

RUN: run status: enemy: 2; fitness: -105.79605775076537; player life: 0; enemy life: 100; time: 329

RUN: run status: enemy: 5; fitness: -100.1477552789821; player life: 67.6000000000003; enemy life: 100; time: 1000

RUN: run status: enemy: 2; fitness: -105.80513496891649; player life: 0; enemy life: 100; time: 332

RUN: run status: enemy: 5; fitness: -106.08677472691231; player life: 0; enemy life: 100; time: 440

RUN: run status: enemy: 2; fitness: 46.35455310235676; player life: 0; enemy life: 20.0; time: 283

RUN: run status: enemy: 5; fitness: 88.20324619773174; player life: 38.80000000000028; enemy life: 0; time: 292

RUN: run status: enemy: 2; fitness: -105.10594547390058; player life: 0; enemy life: 100; time: 165

RUN: run status: enemy: 5; fitness: -82.8877552789821; player life: 50.20000000000031; enemy life: 90.0; time: 1000

RUN: run status: enemy: 2; fitness: -105.78382518232974; player life: 0; enemy life: 100; time: 325

RUN: run status: enemy: 5; fitness: -102.12775527898211; player life: 47.8000000000003; enemy life: 100; time: 1000

RUN: run status: enemy: 2; fitness: 89.33740496697304; player life: 44; enemy life: 0; time: 158

RUN: run status: enemy: 5; fitness: 45.92235775665097; player life: 0; enemy life: 20.0; time: 436

RUN: run status: enemy: 2; fitness: -105.68017260901706; player life: 0; enemy life: 100; time: 293

RUN: run status: enemy: 5; fitness: -106.76619171466035; player life: 0; enemy life: 100; time: 868

RUN: run status: enemy: 2; fitness: -10.793013608384143; player life: 0; enemy life: 50.0; time: 328

RUN: run status: enemy: 5; fitness: 88.6730739740296; player life: 46.0000000000003; enemy life: 0; time: 375

RUN: run status: enemy: 2; fitness: -105.22035582507833; player life: 0; enemy life: 100; time: 185

RUN: run status: enemy: 5; fitness: -100.8677552789821; player life: 60.40000000000033; enemy life: 100; time: 1000

RUN: run status: enemy: 2; fitness: -105.75890177387728; player life: 0; enemy life: 100; time: 317

RUN: run status: enemy: 5; fitness: -101.5277552789821; player life: 53.80000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 2; fitness: -105.75890177387728; player life: 0; enemy life: 100; time: 317

RUN: run status: enemy: 5; fitness: -106.34563636082859; player life: 0; enemy life: 100; time: 570

RUN: run status: enemy: 2; fitness: -105.81413053182507; player life: 0; enemy life: 100; time: 335

RUN: run status: enemy: 5; fitness: -106.08677472691231; player life: 0; enemy life: 100; time: 440

RUN: run status: enemy: 2; fitness: -105.78382518232974; player life: 0; enemy life: 100; time: 325

RUN: run status: enemy: 5; fitness: -103.80775527898211; player life: 31.000000000000263; enemy life: 100; time: 1000

RUN: run status: enemy: 2; fitness: -105.80513496891649; player life: 0; enemy life: 100; time: 332

RUN: run status: enemy: 5; fitness: -101.04775527898211; player life: 58.60000000000033; enemy life: 100; time: 1000

RUN: run status: enemy: 2; fitness: -104.82028156560504; player life: 0; enemy life: 100; time: 124

RUN: run status: enemy: 5; fitness: -98.64775527898212; player life: 82.60000000000016; enemy life: 100; time: 1000

RUN: run status: enemy: 2; fitness: 45.60140506546479; player life: 0; enemy life: 20.0; time: 601

RUN: run status: enemy: 5; fitness: -30.65027904858742; player life: 0; enemy life: 60.0; time: 773

RUN: run status: enemy: 2; fitness: -105.73334127689775; player life: 0; enemy life: 100; time: 309

RUN: run status: enemy: 5; fitness: -85.58775527898212; player life: 23.200000000000244; enemy life: 90.0; time: 1000

RUN: run status: enemy: 2; fitness: -105.78382518232974; player life: 0; enemy life: 100; time: 325

RUN: run status: enemy: 5; fitness: -106.20657592672492; player life: 0; enemy life: 100; time: 496

RUN: run status: enemy: 2; fitness: -105.31320597904178; player life: 0; enemy life: 100; time: 203

RUN: run status: enemy: 5; fitness: -100.8677552789821; player life: 60.40000000000033; enemy life: 100; time: 1000

RUN: run status: enemy: 2; fitness: -105.62762111369064; player life: 0; enemy life: 100; time: 278

RUN: run status: enemy: 5; fitness: -106.73101810048209; player life: 0; enemy life: 100; time: 838

RUN: run status: enemy: 2; fitness: 46.47853908213776; player life: 0; enemy life: 20.0; time: 250

RUN: run status: enemy: 5; fitness: -49.278521424165845; player life: 0; enemy life: 70.0; time: 533

RUN: run status: enemy: 2; fitness: -67.15329159449777; player life: 0; enemy life: 80.0; time: 173

RUN: run status: enemy: 5; fitness: -47.10775527898211; player life: 28.000000000000256; enemy life: 70.0; time: 1000

RUN: run status: enemy: 2; fitness: 65.49061166337202; player life: 0; enemy life: 10.0; time: 247

RUN: run status: enemy: 5; fitness: 89.51982739098297; player life: 52.00000000000031; enemy life: 0; time: 293

RUN: run status: enemy: 2; fitness: 84.98393481486718; player life: 16; enemy life: 0; time: 747

RUN: run status: enemy: 5; fitness: -87.38775527898211; player life: 5.200000000000234; enemy life: 90.0; time: 1000

RUN: run status: enemy: 2; fitness: -10.023880520846276; player life: 0; enemy life: 50.0; time: 152

RUN: run status: enemy: 5; fitness: -103.02775527898211; player life: 38.80000000000028; enemy life: 100; time: 1000

RUN: run status: enemy: 2; fitness: 45.85153170408235; player life: 0; enemy life: 20.0; time: 468

RUN: run status: enemy: 5; fitness: -65.5677552789821; player life: 33.40000000000027; enemy life: 80.0; time: 1000

RUN: run status: enemy: 2; fitness: -105.22035582507833; player life: 0; enemy life: 100; time: 185

RUN: run status: enemy: 5; fitness: -106.38775527898211; player life: 5.200000000000234; enemy life: 100; time: 1000

RUN: run status: enemy: 2; fitness: -105.78382518232974; player life: 0; enemy life: 100; time: 325

RUN: run status: enemy: 5; fitness: -106.26720054854137; player life: 0; enemy life: 100; time: 527

RUN: run status: enemy: 2; fitness: -9.955827057601262; player life: 0; enemy life: 50.0; time: 142

RUN: run status: enemy: 5; fitness: 85.28645195372293; player life: 16.000000000000227; enemy life: 0; time: 552

RUN: run status: enemy: 2; fitness: 90.87603602059674; player life: 60; enemy life: 0; time: 168

RUN: run status: enemy: 5; fitness: -63.0477552789821; player life: 58.60000000000033; enemy life: 80.0; time: 1000

RUN: run status: enemy: 2; fitness: -106.65286302935334; player life: 0; enemy life: 100; time: 775

RUN: run status: enemy: 5; fitness: -101.2277552789821; player life: 56.800000000000324; enemy life: 100; time: 1000

RUN: run status: enemy: 2; fitness: -49.00388706710654; player life: 0; enemy life: 70.0; time: 405

RUN: run status: enemy: 5; fitness: -106.44775527898211; player life: 4.600000000000234; enemy life: 100; time: 1000

RUN: run status: enemy: 2; fitness: -105.77144112313002; player life: 0; enemy life: 100; time: 321

RUN: run status: enemy: 5; fitness: -104.3477552789821; player life: 25.60000000000025; enemy life: 100; time: 1000

RUN: run status: enemy: 2; fitness: 45.26184750540405; player life: 0; enemy life: 20.0; time: 844

RUN: run status: enemy: 5; fitness: 87.67935834262663; player life: 35.20000000000027; enemy life: 0; time: 344

RUN: run status: enemy: 2; fitness: -105.81413053182507; player life: 0; enemy life: 100; time: 335

RUN: run status: enemy: 5; fitness: -106.3279367837292; player life: 0; enemy life: 100; time: 560

RUN: run status: enemy: 2; fitness: -106.54965074223381; player life: 0; enemy life: 100; time: 699

RUN: run status: enemy: 5; fitness: -103.1477552789821; player life: 37.60000000000028; enemy life: 100; time: 1000

RUN: run status: enemy: 2; fitness: 88.31240366476763; player life: 34; enemy life: 0; time: 162

RUN: run status: enemy: 5; fitness: 89.70283177470682; player life: 52.00000000000031; enemy life: 0; time: 244

RUN: run status: enemy: 2; fitness: -30.30444880242198; player life: 0; enemy life: 60.0; time: 547

RUN: run status: enemy: 5; fitness: -101.40775527898211; player life: 55.00000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 2; fitness: -104.95582705760125; player life: 0; enemy life: 100; time: 142

RUN: run status: enemy: 5; fitness: -101.7077552789821; player life: 52.00000000000031; enemy life: 100; time: 1000

RUN: run status: enemy: 2; fitness: 27.111122041667116; player life: 0; enemy life: 30.0; time: 361

RUN: run status: enemy: 5; fitness: -49.52795791762255; player life: 0; enemy life: 70.0; time: 684

RUN: run status: enemy: 2; fitness: -9.564348191467836; player life: 0; enemy life: 50.0; time: 96

RUN: run status: enemy: 5; fitness: -83.24775527898211; player life: 46.6000000000003; enemy life: 90.0; time: 1000

RUN: run status: enemy: 2; fitness: -104.9416424226093; player life: 0; enemy life: 100; time: 140

RUN: run status: enemy: 5; fitness: -101.5277552789821; player life: 53.80000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 2; fitness: -105.8636311755981; player life: 0; enemy life: 100; time: 352

